"","HASub","HAGroup","NA","None"
"rPro.H1","0.87 (0.74,1.01)","0.84 (0.73,0.98)","0.85 (0.72,1.02)","1 (0,2)"
"rPro.H3","0.81 (0.7,0.94)","0.86 (0.74,1.01)","0.9 (0.78,1.04)","1 (0,2)"
"r5.24","0.25 (0.23,0.28)","0.25 (0.23,0.28)","0.24 (0.22,0.27)","0.23 (0.22,0.26)"
"r25.44","0.12 (0.11,0.12)","0.11 (0.11,0.13)","0.11 (0.1,0.13)","0.11 (0.1,0.12)"
"r45.64","0.08 (0.08,0.09)","0.09 (0.08,0.1)","0.09 (0.08,0.09)","0.08 (0.08,0.1)"
"r65plus","0.1 (0.09,0.1)","0.1 (0.09,0.12)","0.1 (0.09,0.12)","0.09 (0.09,0.11)"
"rvac","0.5 (0,0.72)","0.5 (0,0.72)","0.5 (0,0.74)","0.5 (0,0.72)"
