"","<5","5-24","25-44","45-64",">65"
"1",0.0277732289061648,0.202382311507532,0.311912539060744,0.327255294671311,0.130676625854248
"2",0.0283230175762772,0.196868879369565,0.309246850299074,0.329708613245193,0.135852639509889
"3",0.0292805975973465,0.191055550910054,0.307481116035343,0.331674889204783,0.140507846252474
"4",0.028216126111408,0.186533791510795,0.306071589766878,0.332667849953342,0.146510642657577
"5",0.028891808262381,0.180175364397225,0.3000198382739,0.329633601198189,0.161279387868305
"6",0.0294142727367276,0.177827577895451,0.298981849656221,0.329222975221032,0.164553324490568
"7",0.0283144982235059,0.173835067262341,0.293380739808815,0.326573839369423,0.177895855335915
"8",0.0292517806834746,0.168043263234235,0.288284515427969,0.325227213729346,0.189193226924976
"9",0.0285020919491423,0.166568113253842,0.288416522902108,0.327367633840885,0.189145638054023
"10",0.0278649811042207,0.164076334746073,0.288291356147283,0.326779043663066,0.192988284339357
