"","HASub","HAGroup","NA","None"
"rPro.H1","0.86 (0.74,1.01)","0.83 (0.72,0.97)","0.84 (0.7,1)","1 (0,2)"
"rPro.H3","0.82 (0.7,0.96)","0.88 (0.74,1.03)","0.92 (0.8,1.06)","1 (0,2)"
"r5.24","0.21 (0.2,0.23)","0.2 (0.18,0.23)","0.2 (0.18,0.22)","0.19 (0.18,0.21)"
"r25.44","0.11 (0.1,0.12)","0.11 (0.1,0.12)","0.11 (0.1,0.11)","0.1 (0.1,0.12)"
"r45.64","0.09 (0.09,0.1)","0.09 (0.09,0.1)","0.09 (0.09,0.11)","0.09 (0.09,0.1)"
"r65plus","0.1 (0.1,0.12)","0.1 (0.1,0.12)","0.11 (0.1,0.12)","0.1 (0.1,0.1)"
"rvac","0.5 (0,0.7)","0.5 (0,0.7)","0.5 (0,0.72)","0.5 (0,0.7)"
